source,target,weight,Type
1755,1656,12,Undirected
1755,3155,19,Undirected
1755,3085,20,Undirected
1755,3081,197,Undirected
1755,3882,28,Undirected
1755,3621,20,Undirected
1755,3719,22,Undirected
1755,994,27,Undirected
1755,2066,9,Undirected
1755,1644,14,Undirected
1755,1647,13,Undirected
1755,730,101,Undirected
1755,736,16,Undirected
1755,738,114,Undirected
1755,1897,16,Undirected
1755,263,16,Undirected
1755,2490,41,Undirected
1755,2497,48,Undirected
1755,3223,16,Undirected
1755,1986,11,Undirected
1755,3219,13,Undirected
1755,568,21,Undirected
1755,569,12,Undirected
1755,722,78,Undirected
1755,5522,11,Undirected
1755,1294,11,Undirected
1753,3256,49,Undirected
1753,2998,10,Undirected
1753,1829,9,Undirected
1753,4552,7,Undirected
1753,3266,11,Undirected
1753,3184,11,Undirected
1752,1661,12,Undirected
1752,738,28,Undirected
1752,3029,49,Undirected
1752,2139,91,Undirected
1752,3115,48,Undirected
1752,1879,14,Undirected
1752,2622,9,Undirected
1752,3087,45,Undirected
1752,770,27,Undirected
1752,768,31,Undirected
1752,2524,20,Undirected
1752,542,53,Undirected
1752,540,74,Undirected
1752,3741,12,Undirected
1752,2142,31,Undirected
1752,1891,22,Undirected
1752,3916,9,Undirected
1752,1897,9,Undirected
1752,65,68,Undirected
1752,754,12,Undirected
1752,759,48,Undirected
1752,1894,15,Undirected
1752,2131,76,Undirected
1752,3107,64,Undirected
1873,542,30,Undirected
1873,540,36,Undirected
1873,531,24,Undirected
1873,3029,27,Undirected
1873,1745,19,Undirected
1873,2131,43,Undirected
1873,3107,34,Undirected
1873,2139,43,Undirected
1873,3115,25,Undirected
2037,3247,9,Undirected
3835,3256,16,Undirected
3744,759,27,Undirected
3744,2524,14,Undirected
3744,540,52,Undirected
3744,2142,22,Undirected
3744,65,47,Undirected
3744,3916,10,Undirected
3744,738,17,Undirected
3744,1745,20,Undirected
3744,2136,17,Undirected
3744,2131,62,Undirected
3744,3107,52,Undirected
3741,3029,62,Undirected
3741,3099,34,Undirected
3741,750,18,Undirected
3741,3115,52,Undirected
3741,3781,7,Undirected
3741,3087,34,Undirected
3741,542,52,Undirected
3741,738,20,Undirected
3741,3918,10,Undirected
3741,768,27,Undirected
3741,3325,17,Undirected
3741,3041,9,Undirected
3741,3038,22,Undirected
3741,67,47,Undirected
3741,1745,30,Undirected
248,2131,23,Undirected
2450,856,8,Undirected
3087,568,15,Undirected
3087,525,129,Undirected
3087,1014,39,Undirected
3087,736,12,Undirected
3087,3038,86,Undirected
3087,2531,65,Undirected
3087,2136,121,Undirected
3087,263,21,Undirected
3087,773,32,Undirected
